ID,Coder1,Coder2,Coder3,Coder4,Coder5
1,3,6.4,6,3,5
2,2.5,6.2,5,4,4
3,2,3.5,4,5.5,3
4,3.5,6.3,6,4.3,4.5
5,4,5.8,6,6,6
6,3,5.2,5.5,4,4.5
7,1,1.3,1,1.3,1
8,3,4.3,5.5,3.2,3
9,1.1,2,1,1.3,1
10,1,1.2,1,1.3,1
11,1,1.3,1,1.5,1
12,2.3,5,5,3,3
13,2.8,3.9,5.5,3.5,4
14,2.4,5.2,5,3,3
15,2.4,4,4.5,3,3
16,2.1,3.6,4.5,2.8,3
17,2,3,4,2.5,2
18,3,6.5,6,4,3
19,2,4.2,5.5,2.8,3
20,1,1.7,1,1,1
21,1,1.5,1,1.3,1
22,3,5.5,6.5,6.5,6
23,1.1,1.3,1.5,1.3,1
24,3,5.3,6,6,4
25,3.5,7,5.5,5.5,4
26,3,6,5,5,4
27,3,4.2,5,5,4
28,1.1,2.5,2.5,1.5,1
29,1,1.4,2,1.5,1
30,2.5,3.5,4,2.5,2
31,1,2.2,1.5,1.5,1
32,3,4.5,5,3.5,2
33,3.5,4.8,5.5,4,3
34,4.5,5.2,6,5.5,3.5
35,7,6.8,7,7,4
36,5,4,5,4.5,3.5
37,1,1,1,1,1
38,1,1.3,1,5,1
39,4,4.2,6,1,3.5
40,1,1.2,1,1,1
41,2.8,4,4.5,4,2.5
42,5.5,6.5,5.5,6.8,5
43,3.4,5,5,5.8,4
44,3.1,5.2,5,6,4
45,1,1.8,1.5,1.3,1
46,1,1.2,1.5,1.5,1
47,1,1.5,1.5,1.3,1
48,4.5,4.5,5,5.5,3
